AGN_name,RA,DEC,z,source,type,ALeRCE,prob_diff_top2,alert_offset,t0,te,tg,r0_g,r0_r,A_g,A_r,max_gap,peak_sigma_g,peak_sigma_r,excess_num_g,excess_num_r,delta_bic,flare_point_g,flare_point_r,flag_1,flag_2,flag_3,flag_4,flag_5,flag_6,flag_7,flag_8
J000001.27+070128.7,0.0052954,7.0246577,1.227,MQW,,QSO,0.105,0.149,58348.0,144.9,2414.1,114.57,160.26,42.26,43.28,190.2,3.27,3.31,0.0,0.0,-13.2,43.0,40.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
J000007.25+332616.0,0.0302097,33.4377783,2.098,MQ,,,,,59839.7,377.2,0.0,36.13,36.85,13.64,9.56,777.4,2.9,3.08,0.0,0.0,-13.2,8.0,6.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
J000011.42+145545.7,0.0475625,14.9293708,0.46,MDQW,,,,,58510.4,21.7,77.5,48.26,58.31,22.34,22.29,225.8,4.56,3.68,1.0,1.0,-3.4,12.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
J000015.90-273856.5,0.0662563,-27.6490384,1.516,MQW,,QSO,0.058,0.336,60617.2,441.8,342.2,112.08,159.97,57.29,55.65,314.1,3.39,5.6,0.0,0.0,25.6,19.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
J000017.74+020027.8,0.0739133,2.007734,0.414,MQW,,,,,58395.3,240.9,69.2,73.64,119.78,30.91,33.63,734.0,2.63,2.73,0.0,0.0,5.6,7.0,5.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
J000017.86+134749.6,0.0744272,13.797111,0.702,M,,,,,58861.8,0.4,49.4,8.89,11.27,20.96,9.53,268.4,3.61,3.74,0.0,1.0,0.5,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
J000024.75+182943.2,0.1031087,18.4953462,0.088,M,,,,,59253.5,0.0,28.1,111.96,314.33,42.61,58.66,215.2,6.01,3.49,3.0,6.0,5.0,2.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
J000026.95+002004.7,0.1123072,0.3346577,0.822,M,,,,,60095.7,31.8,111.8,22.22,22.8,25.94,25.76,258.2,3.72,3.22,4.0,1.0,-18.7,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
J000027.65+145624.7,0.1152219,14.9402,0.159,M,,,,,59201.7,0.4,3.2,72.06,158.61,90.04,78.93,219.9,3.65,3.49,4.0,6.0,34.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
J000028.68+225749.6,0.1194859,22.9637834,1.297,MDW,,QSO,0.672,0.072,60013.8,40.8,37.9,17.84,25.4,33.0,17.7,205.2,4.1,3.53,3.0,0.0,-17.5,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
J000030.09+353629.3,0.1253861,35.6081492,1.031,MQW,,Blazar,0.334,0.042,58471.1,163.1,365.3,8.85,13.67,14.73,19.2,363.0,3.03,4.92,0.0,0.0,11.7,47.0,55.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
J000041.74+100800.9,0.173903,10.1336057,1.93,MD,,,,,60343.5,4000.0,179.0,11.6,12.46,9.0,8.49,250.1,3.77,3.59,1.0,0.0,4.8,49.0,25.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
J000049.43-000301.9,0.205946,-0.0505541,0.993,MD,,,,,60412.5,405.3,363.9,9.22,12.02,5.06,11.24,344.0,2.32,3.8,0.0,0.0,-11.0,12.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
J000057.59+010658.6,0.2399465,1.1162771,2.549,MQW,,QSO,0.795,0.121,58300.5,345.1,320.4,25.24,32.34,21.87,22.26,207.2,4.01,3.47,0.0,1.0,0.6,39.0,41.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
J000058.22-004646.5,0.2426038,-0.7796072,1.895,MDQW,,,,,58595.3,92.6,204.1,72.26,76.32,41.37,42.87,734.0,2.06,2.21,0.0,0.0,6.1,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
J000111.76+200712.2,0.2990058,20.1200803,1.627,MDQ,,,,,59213.1,321.2,744.7,22.59,30.59,25.76,23.09,215.2,2.77,2.28,0.0,1.0,21.7,151.0,162.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
J000115.88+394348.8,0.3161474,39.730248,1.15,MQW,,Blazar,0.158,0.225,59030.5,254.6,984.4,13.95,26.42,20.66,22.57,225.1,6.48,2.4,0.0,0.0,23.8,166.0,203.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
J000116.00+141123.1,0.3166532,14.1897655,0.404,MDLW,,SN,0.42,0.306,60400.2,95.6,87.4,27.2,48.71,61.04,58.68,231.6,3.84,5.49,1.0,0.0,33.6,4.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
J000122.34+204455.3,0.3430697,20.7486967,0.599,MLQW,,QSO,0.039,0.378,59868.3,4000.0,10.9,237.44,234.85,70.41,61.4,734.1,3.78,2.89,0.0,0.0,-0.3,6.0,10.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
J000123.37+473353.8,0.34737,47.56496,0.017,M,,SN,0.132,0.123,58439.2,0.0,4.3,464.13,1110.13,158.65,356.98,132.6,4.66,3.57,6.0,4.0,10.8,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
J000130.24-001446.4,0.3760116,-0.2462356,0.089,M,,,,,60302.0,53.1,17.9,170.9,351.63,39.22,135.09,242.2,2.57,4.79,1.0,0.0,6.6,2.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
J000130.28+020856.4,0.3761752,2.1490152,0.293,M,,,,,60454.7,37.7,88.0,21.25,89.25,19.65,67.92,273.1,3.52,3.29,0.0,2.0,-5.7,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
J000158.22+182218.0,0.4925808,18.3716818,0.1,M,,AGN,0.235,0.287,58904.2,85.4,84.2,190.5,363.73,54.98,69.49,215.2,4.61,4.98,2.0,1.0,15.2,11.0,14.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
J000159.36+304332.0,0.4973338,30.725566,2.096,MDQW,,,,,60400.5,37.8,433.5,40.73,46.01,62.37,62.96,1099.1,4.19,3.16,0.0,0.0,23.8,0.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
J000202.63+085628.4,0.5109535,8.9412271,0.217,MDLQW,,SNII,0.573,0.062,60163.3,79.2,171.7,130.67,223.09,60.34,74.94,218.2,4.16,3.97,0.0,0.0,17.5,29.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J000208.74+242014.0,0.536422,24.3372256,2.049,MDQW,,AGN,0.581,0.318,58467.2,157.6,154.6,87.47,106.08,16.5,25.72,1077.1,1.58,2.24,0.0,0.0,11.2,12.0,18.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0
