AGN_name,RA,DEC,z,source,type,ALeRCE,prob_diff_top2,alert_offset,t0,te,tg,r0_g,r0_r,A_g,A_r,max_gap,peak_sigma_g,peak_sigma_r,excess_num_g,excess_num_r,delta_bic,flare_point_g,flare_point_r,flag_1,flag_2,flag_3,flag_4,flag_5,flag_6,flag_7,flag_8
J000202.63+085628.4,0.5109535,8.9412271,0.217,MDLQW,,SNII,0.573,0.062,60163.3,79.2,171.7,130.67,223.09,60.34,74.94,218.2,4.16,3.97,0.0,0.0,17.5,29.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J000309.61+215736.9,0.7900422,21.9602647,0.022,M,,AGN,0.375,0.155,60230.5,20.6,6.5,1609.27,3424.67,1176.3,1360.9,215.2,6.83,5.17,0.0,1.0,87.5,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J000315.35+331132.1,0.8139678,33.1922653,1.916,MQW,,QSO,0.046,0.926,59503.2,497.2,125.3,145.68,183.07,61.91,51.64,137.3,3.86,3.12,0.0,0.0,21.5,56.0,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J000832.51-101656.8,2.1354611,-10.2824633,0.077,M,,,,,58435.4,0.4,1.5,208.39,483.56,104.22,143.22,245.2,4.24,5.22,1.0,1.0,24.8,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J001004.79+222810.0,2.5199556,22.4694601,1.662,MDQ,,QSO,0.521,0.037,58741.0,0.2,1.8,56.55,63.96,24.58,50.61,205.2,3.28,3.48,0.0,2.0,46.4,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J001030.21+224454.7,2.6258852,22.7485415,1.63,MDQW,,,,,58956.4,225.0,73.3,27.77,40.24,15.23,17.13,205.2,3.47,5.94,0.0,1.0,19.3,43.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J001354.13-042352.3,3.4755538,-4.3978708,1.076,MQW,Blazar,Blazar,0.476,0.114,59507.9,13.8,11.8,30.06,47.64,787.6,944.52,337.1,5.99,7.04,0.0,0.0,261.8,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J001507.47+110602.9,3.781144,11.1008145,0.703,MDQW,,,,,58833.7,94.8,25.6,85.93,100.73,37.7,33.98,218.2,4.21,3.76,1.0,0.0,12.5,10.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J001617.22+050946.5,4.0717466,5.1629244,1.448,MQW,,QSO,0.663,0.142,59002.8,896.5,391.6,15.61,27.04,33.84,40.66,234.2,4.27,3.24,0.0,0.0,13.5,129.0,166.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J001736.90+145101.8,4.4037609,14.8505197,0.303,MQW,Blazar,Blazar,0.805,0.1,60189.4,9.0,19.3,107.98,200.85,219.23,294.78,219.7,6.2,6.35,0.0,0.0,131.9,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J001908.87+281753.7,4.7869386,28.2982742,0.687,MQW,,SN,0.175,0.02,58740.7,164.5,65.7,125.37,153.78,84.16,89.82,132.5,3.16,3.2,0.0,0.0,28.1,64.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J001954.36+155740.3,4.9764839,15.961217,0.083,M,SN,Blazar,0.208,0.033,58775.2,40.0,9.3,221.4,405.41,161.43,154.31,141.8,5.1,4.47,0.0,0.0,52.6,14.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J002232.44+060804.2,5.6351733,6.1345197,0.996,MQ,Blazar,Blazar,0.576,0.115,59055.7,35.8,20.9,96.53,146.06,530.82,820.02,207.2,5.28,5.04,0.0,0.0,57.4,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J002332.34-011444.2,5.88474,-1.2456112,0.483,MDQW,,Blazar,0.023,0.17,60464.3,24.4,302.3,720.96,679.9,211.08,178.01,219.2,3.62,3.65,0.0,0.0,20.5,27.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J002903.06-110348.4,7.2627531,-11.0634618,0.055,M,,,,,58434.4,1.3,0.7,433.44,880.4,103.66,296.49,232.2,4.97,4.67,0.0,1.0,12.9,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J002922.44+335202.7,7.3435201,33.8674227,0.9,MQW,,QSO,0.577,0.265,59238.8,229.9,225.0,14.85,15.68,18.93,20.02,217.2,3.4,3.11,0.0,0.0,31.9,74.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J002923.38+281826.6,7.3474282,28.3073877,1.4,MDQW,,,,,58769.7,2.8,3.3,26.66,40.01,18.18,24.51,198.4,3.85,4.45,1.0,1.0,32.8,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J003036.72+284310.0,7.6530002,28.719446S4,1.433,MDQ,,AGN,0.052,0.255,60466.2,53.4,123.7,66.47,84.46,33.77,25.94,138.3,5.06,4.39,0.0,0.0,12.0,10.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J003239.79-025456.6,8.16579,-2.91573,0.019,M,,bogus,0.791,0.538,58438.0,0.0,3.5,1418.19,3197.8,540.52,1466.57,275.2,5.39,6.29,1.0,1.0,51.4,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J003637.71+161610.6,9.1571146,16.2696372,2.201,MDW,,QSO,0.682,0.193,60018.2,125.8,88.0,37.55,45.09,34.59,30.1,207.2,5.33,5.21,0.0,1.0,11.7,12.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J003657.18-100810.7,9.2382476,-10.1363058,0.188,M,,AGN,0.787,0.279,59284.5,309.2,391.8,286.07,491.29,104.71,98.99,311.2,2.89,3.64,0.0,0.0,26.5,68.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J003849.27-011722.4,9.7052924,-1.2895711,0.5,MW,,,,,58853.1,5.1,3.9,15.33,25.77,46.37,70.31,295.1,6.76,8.37,0.0,0.0,123.8,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J003855.52+332759.9,9.7313174,33.4666385,1.292,M,,,,,58773.8,218.3,167.5,12.21,17.22,8.97,7.99,242.2,4.1,7.07,0.0,1.0,26.6,44.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J003945.03-244150.3,9.9376251,-24.6973056,0.064,M,,,,,58432.9,5.2,1.9,250.92,607.81,230.52,340.99,289.1,6.28,3.9,0.0,0.0,38.5,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J004013.53+012546.3,10.0563552,1.4295355,0.226,M,,SN,0.77,0.24,59848.7,3.6,1.9,88.25,213.71,68.54,119.95,215.2,6.25,6.38,0.0,1.0,63.3,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J004048.75-054050.5,10.2031457,-5.6806994,0.097,M,,,,,58437.3,0.0,3.3,129.17,308.6,62.18,154.61,275.2,4.33,5.07,0.0,2.0,20.8,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J004608.20+271526.2,11.5341815,27.2572816,0.37,MQW,,,,,58771.6,0.6,2.7,74.17,106.43,43.32,23.68,152.3,6.94,3.95,1.0,1.0,55.3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J004619.71+020231.2,11.5821215,2.0420242,0.373,MQW,,AGN,0.066,0.097,59959.3,90.9,66.7,48.2,71.15,58.82,45.93,223.2,4.88,5.6,0.0,0.0,19.6,13.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J004804.82+091556.7,12.0200768,9.2657662,1.105,MQW,,QSO,0.175,0.091,58771.4,1.3,2.2,50.01,72.02,56.06,17.07,207.2,3.16,2.02,0.0,0.0,17.4,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J005028.91+251847.6,12.6204382,25.3132451,0.274,MQW,,AGN,0.412,0.156,59129.8,128.9,30.7,103.14,153.97,55.07,57.65,141.3,3.69,3.65,0.0,0.0,17.6,37.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
